cityCode,cityName, center code,Center name, Address,doctorCount,category, Contact number,longitude,latitude,Opening Time,Closing Time,Rush Time Start,Rush Time End,Number of Appointments,Doctor Name,Disease
11,DELHI/NCR,AY19,Dev Nagar (Ayurvedic),"Double Storey Qtrs.No.141 Block No.12, (Opposite Mother Dairy) Dev Nagar, New Delhi-5.",2,ayurvedic,25860275,77.18402863,28.654448,7:00 AM,7:00 PM,8:00 AM,10:00 AM,50,Dr. Sharma,Hypertension
11,DELHI/NCR,AY40,AYURVEDIC WC JUNG PURA,"Q.No.46, 48, 50, 52, 56, Block No. 8, Jangpura, New Delhi",2,ayurvedic,011-24312213,77.24526215,28.582367,8:00 AM,8:00 PM,9:00 AM,11:00 AM,60,Dr. Patel,Diabetes
11,DELHI/NCR,D26,Tilak Nagar,"Tilak Nagar Near Subzi Mandi, New Delhi-18",6,alopathic,25998900,77.09846497,28.638773,6:30 AM,6:30 PM,7:30 AM,9:30 AM,40,Dr. Gupta,Asthma
11,DELHI/NCR,D37,Sriniwas Puri,"CGHS  Wellness Centre Building, Srinivaspuri, New Delhi.",6,alopathic,011-26910251,77.25615692,28.564219,9:00 AM,9:00 PM,10:00 AM,12:00 PM,70,Dr. Verma,Cold
11,DELHI/NCR,D44,Dr. Zakir Hussain Road,"CGHS Building, Dr. Zakir Hussain Road, New Dehli",6,alopathic,23383724,77.23468018,28.605564,7:00 AM,7:30 PM,8:30 AM,10:30 AM,45,Dr. Mishra,Arthritis
11,DELHI/NCR,D5,Paharganj,"3 & 4, Chitra Gupta Road, New Delhi",4,alopathic,23587511 23561574,77.2093811,28.64533,8:30 AM,8:30 PM,9:00 AM,11:00 AM,55,Dr. Mehta,Hypertension
11,DELHI/NCR,D53,Rajouri Garden,"Near Tagore Garden Bus Stand, Delhi-27",4,alopathic,25171213,77.11227417,28.645285,7:30 AM,7:30 PM,8:00 AM,10:00 AM,60,Dr. Kapoor,Back Pain
11,DELHI/NCR,D58,Nangal Raya,"D-Block, Janakpuri, Nangal Raya, New Delhi-46",6,alopathic,28521863,77.09876251,28.611599,6:00 AM,6:00 PM,7:00 AM,9:00 AM,50,Dr. Kumar,Weight Loss
11,DELHI/NCR,D65,M.B. Road,"CGHS Wellness Centre Building, Sector – 1, M.B. Road, N. Delhi",8,alopathic,011-29564988,77.22093201,28.523499,7:00 AM,7:00 PM,8:30 AM,10:30 AM,65,Dr. Agarwal,Stress
11,DELHI/NCR,D66,Palam Colony,"CGHS Wellness Centre Palam Colony, New Delhi-46",7,alopathic,25035839,77.08592987,28.590113,8:00 AM,8:00 PM,9:00 AM,11:00 AM,55,Dr. Joshi,Diabetes
11,DELHI/NCR,D97,Indirapuram,"Flat No. 01-05, Sharda Tower, Sec-4 Vaishali, Ghaziabad-UP-201010)",7,alopathic,0120-2770973,77.33979797,28.649866,9:00 AM,9:00 PM,10:30 AM,12:30 PM,70,Dr. Singh,Hypertension
11,DELHI/NCR,HO26,Tilak Nagar (Homeo),"Tilak Nagar, Near Subzi Mandi, New Delhi-18",2,homeo,25998900,77.09831238,28.638943,6:30 AM,6:30 PM,7:30 AM,9:30 AM,40,Dr. Reddy,Asthma
11,DELHI/NCR,HO48,Hari Nagar (Homeo),"CGHS Hari Nagar, Near DTC Depot, Hari Nagar, New Delhi-64",1,homeo,28125518,77.10641479,28.624872,8:00 AM,8:00 PM,9:00 AM,11:00 AM,50,Dr. Desai,Cold
11,DELHI/NCR,HO49,HOMEOPATHIC WC SHAHDRA,,2,homeo,,77.29935455,28.681932,7:00 AM,7:00 PM,8:30 AM,10:30 AM,45,Dr. Bhatia,Arthritis
11,DELHI/NCR,HO78,HOMEOPATHIC WC PUSHP VIHAR,"A-B/ 125,126,127 – Sector-IV , Pusp Vihar, New Delhi",2,homeo,011-29563193,77.22743988,28.523434,8:30 AM,8:30 PM,9:30 AM,11:30 AM,60,Dr. Sharma,Weight Loss
